닉네임,UID,원점수,2025-02-09 00:00:00,2025-02-10 00:00:00,2025-02-11 00:00:00,2025-02-12 00:00:00,2025-02-13 00:00:00,2025-02-14 00:00:00,2025-02-15 00:00:00,닉네임.2,UID.2,원점수.2,2025-03-02 00:00:00,2025-03-03 00:00:00,2025-03-04 00:00:00,2025-03-05 00:00:00,2025-03-06 00:00:00,2025-03-07 00:00:00,2025-03-08 00:00:00,닉네임.4,UID.4,원점수.4,2025-03-23 00:00:00,2025-03-24 00:00:00,2025-03-25 00:00:00,2025-03-26 00:00:00,2025-03-27 00:00:00,2025-03-28 00:00:00,2025-03-29 00:00:00,닉네임.6,UID.6,원점수.6,2025-04-13 00:00:00,2025-04-14 00:00:00,2025-04-15 00:00:00,2025-04-16 00:00:00
,,8180.0,8770.0,9414.0,10085.0,10724.0,11382.0,12091.0,12750,,,14010.0,14646,15222.0,15885.0,16504.0,17215.0,17854,18512.0,,,1170.0,2621,4085,5559,7016,8488,9975,11503.0,,,12763.0,14301.0,15853,17412,18973
,,0.0,4111.0,8796.0,13700.0,18303.0,23103.0,28410.0,33209,,,0.0,4570,8543.0,13395.0,17790.0,23111.0,27718,0.0,,,0.0,12723,25573,38522,51314,64249,77338,90834.0,,,0.0,13600.0,27323,41121,54955
지히간,630222.0,,3.0,2.0,3.0,2.0,2.0,2.0,2,지히간,630222.0,,2,3.0,3.0,3.0,3.0,3,3.0,지히간,630222.0,,2,2,2,2,2,2,2.0,지히간,630222.0,,2.0,2,2,0
,,,180.0,150.0,180.0,150.0,150.0,150.0,150,,,,150,180.0,180.0,180.0,180.0,180,180.0,,,,150,150,150,150,150,150,150.0,,,,150.0,150,150,0
,,5440.0,6370.0,7079.0,8150.0,8920.0,9711.0,10496.0,11288,,,12548.0,13323,14308.0,15304.0,16280.0,17278.0,18308,19314.0,,,20574.0,21542,22530,23535,24529,25543,26554,27602.0,,,28862.0,29741.0,30588,31485,31485
,,0.0,7510.0,13104.0,22024.0,28238.0,34657.0,41012.0,47434,,,0.0,6261,14334.0,22508.0,30478.0,38681.0,47190,55451.0,,,0.0,8188,16576,25132,33574,42222,50842,59832.0,,,0.0,7301.0,14276,21747,21747
Blue37,176619.0,,2.0,2.0,2.0,2.0,2.0,3.0,2,설윤,188608.0,,3,3.0,3.0,3.0,3.0,3,3.0,설윤,188608.0,,2,2,2,2,2,2,2.0,설윤,188608.0,,2.0,2,2,2
,,,150.0,150.0,150.0,150.0,150.0,180.0,150,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,150,150,150,150,150,150,150.0,,,,150.0,150,150,150
,,7460.0,7940.0,8428.0,8954.0,9475.0,10019.0,10809.0,11338,,,1170.0,2169,3171.0,4235.0,5244.0,6320.0,7430,8449.0,,,9709.0,10729,11756,12790,13817,14851,15890,16955.0,,,18215.0,19290.0,20365,21454,22527
,,0.0,3310.0,6694.0,10457.0,14172.0,18125.0,24242.0,28040,,,0.0,8203,16431.0,25278.0,33587.0,42556.0,51873,60276.0,,,0.0,8707,17491,26333,35112,43955,52858,62020.0,,,0.0,9268.0,18533,27932,37175
지휘관(수오미),12857.0,,2.0,2.0,2.0,2.0,2.0,2.0,2,지휘관(수오미),12857.0,,2,2.0,2.0,2.0,2.0,2,144.0,레티시어,3192182.0,,3,3,3,3,3,3,3.0,레티시어,3192182.0,,3.0,3,3,3
,,,150.0,150.0,150.0,150.0,150.0,150.0,150,,,,150,150.0,150.0,150.0,150.0,150,4410.0,,,,180,180,180,180,180,180,180.0,,,,180.0,180,180,180
,,7366.0,8130.0,8898.0,9652.0,10444.0,11232.0,12004.0,12788,,,14048.0,14832,15567.0,16330.0,17053.0,17797.0,18550,19348.0,,,720.0,2101,3457,4881,6288,7700,9130,10605.0,,,11865.0,13304.0,14774,16261,17726
,,0.0,6150.0,12338.0,18385.0,24816.0,31198.0,37426.0,43780,,,0.0,6350,12204.0,18346.0,24089.0,30043.0,36082,0.0,,,0.0,12025,23795,36250,48528,60863,73386,86352.0,,,0.0,12600.0,25532,38621,51481
그릴롤,481782.0,,2.0,2.0,2.0,2.0,2.0,2.0,2,그릴롤,481782.0,,3,3.0,3.0,3.0,3.0,3,3.0,그릴롤,481782.0,,3,3,3,3,3,3,3.0,그릴롤,481782.0,,3.0,3,3,3
,,,150.0,150.0,150.0,150.0,150.0,150.0,150,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,180,180,180,180,180,180,180.0,,,,180.0,180,180,180
,,630.0,1373.0,2103.0,2858.0,3592.0,4287.0,5019.0,5727,,,6987.0,7982,8994.0,10110.0,11140.0,12244.0,13397,14489.0,,,15749.0,17212,18693,20186,21663,23144,24634,26108.0,,,27368.0,28936.0,30506,32086,33661
,,0.0,5946.0,11750.0,17800.0,23651.0,29105.0,34932.0,40520,,,0.0,8152,16493.0,25870.0,34382.0,43640.0,53386,62516.0,,,0.0,12831,25848,38993,51967,64999,78116,91074.0,,,0.0,13895.0,27809,41836,55805
운요,208728.0,,2.0,2.0,2.0,2.0,2.0,2.0,2,운요,208728.0,,3,3.0,3.0,3.0,3.0,3,3.0,운요,208728.0,,2,2,2,2,2,2,2.0,운요,208728.0,,2.0,2,2,2
,,,150.0,150.0,150.0,150.0,150.0,150.0,150,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,150,150,150,150,150,150,150.0,,,,150.0,150,150,150
,,540.0,1355.0,2184.0,3019.0,3863.0,4671.0,5543.0,6382,,,7642.0,8676,9727.0,10928.0,12069.0,13257.0,14466,15625.0,,,16885.0,17928,18979,20039,21101,22175,23246,24337.0,,,25597.0,26691.0,27785,28879,29970
,,0.0,6659.0,13458.0,20321.0,27270.0,33854.0,41086.0,47975,,,0.0,8555,17283.0,27505.0,37127.0,47219.0,57517,67326.0,,,0.0,8934,17953,27064,36187,45438,54656,64079.0,,,0.0,9458.0,18916,28374,37832
,,,,,,,,,,카츄우,,,0,0.0,0.0,0.0,0.0,3,,페리,389157.0,,3,3,3,3,3,3,3.0,페리,389157.0,,3.0,3,3,3
,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,180,2050.0,,,,180,180,180,180,180,180,180.0,,,,180.0,180,180,180
,,,,,3763.0,3715.0,3953.0,6117.0,,,,0.0,,,,,,1163,2230.0,,,810.0,2251,3708,5198,6672,8159,9676,11238.0,,,12498.0,14056.0,15644,17231,18809
,,,,,,,,,,,,0.0,,,,,,9840,0.0,,,0.0,12622,25403,38526,51482,64563,77947,91776.0,,,0.0,13800.0,27907,41999,55995
,,,,,,,,,,레티시어,,,0,0.0,0.0,0.0,0.0,3,,몽별짱,60896.0,,3,2,2,2,2,3,3.0,몽별짱,60896.0,,2.0,2,2,3
,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,180,1330.0,,,,180,150,150,150,150,180,180.0,,,,150.0,150,150,180
,,,,,,,,,,,,0.0,,,,,,717,1507.0,,,900.0,2329,3340,4357,5359,6365,7823,9327.0,,,10587.0,11651.0,12706,13770,15281
,,,,,,,,,,,,0.0,,,,,,5374,0.0,,,0.0,12501,21122,29797,38328,46892,59684,72937.0,,,0.0,9099.0,18198,27354,40676
